id,chart_template_id:id,code,name,user_type_id:id,reconcile
l10_kaijin_us_1011221,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114051,Bank of America,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011222,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114052,EAST EXPENSE  - 7101,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011223,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114053,EAST MAIN – 10017119,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011224,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114054,KAIJIN RETAIL - 3241,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011225,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114055,Lighthouse  - Checking,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011226,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114056,Primary Checking - 0775,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011227,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114057,Wells Fargo - 4905,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011228,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114058,Wells Fargo - Expense - 0182,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011229,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114059,Wells Fargo - Primary 0208,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011230,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114060,Wells Fargo - Retail - 0190,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011231,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,132000,Accounts Receivable,account.data_account_type_receivable,TRUE
l10_kaijin_us_1011232,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114061,Inventory Asset,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011233,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114062,Loan to Others,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011234,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114063,Merchandise Purchases - Kaijin Clothing,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011235,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114064,Uncategorized Asset,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011236,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114065,Undeposited Funds,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011237,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,453000,Accumulated Depreciation,account.data_account_type_fixed_assets,FALSE
l10_kaijin_us_1011238,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,453001,Furniture and Equipment,account.data_account_type_fixed_assets,FALSE
l10_kaijin_us_1011239,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,453002,Original Cost,account.data_account_type_fixed_assets,FALSE
l10_kaijin_us_1011240,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,114066,Security Deposit Paid,account.data_account_type_current_assets,FALSE
l10_kaijin_us_1011241,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,212000,Accounts Payable,account.data_account_type_payable,TRUE
l10_kaijin_us_1011242,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,501000,EB Non-Reimbursable Expenses,account.data_account_type_expenses,FALSE
l10_kaijin_us_1011243,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,501001,EB Reimbursable Expenses,account.data_account_type_expenses,FALSE
l10_kaijin_us_1011244,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211000,Board of Equalization Payable,account.data_account_type_current_liabilities,FALSE
l10_kaijin_us_1011245,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211001,Board of Equalization Payable:Sales Tax Payable,account.data_account_type_current_liabilities,FALSE
l10_kaijin_us_1011246,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211002,Board of Equalization Payable:Square Sales Tax Payable,account.data_account_type_current_liabilities,FALSE
l10_kaijin_us_1011247,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211003,Direct Deposit Liabilities,account.data_account_type_current_liabilities,FALSE
l10_kaijin_us_1011248,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211004,Direct Deposit Payable,account.data_account_type_current_liabilities,FALSE
l10_kaijin_us_1011249,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211005,Employment Development Department Payable,account.data_account_type_current_liabilities,FALSE
l10_kaijin_us_1011250,l10_kaijin_us.l10_kaijin_us_company_chart_template_ept,211006,Loan from Owner,account.data_account_type_current_liabilities,FALSE
